Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
15-Apr-21,2021-04-15,Recovered,117897,4,1745,6,85,755,409,11988,14,0,13014,182,3023,2743,589,487,1325,3591,2700,72,8,3970,53335,10,3,7,3,837,176,2478,2254,5,4176,897,0,4222,397,2387,0
15-Apr-21,2021-04-15,Deceased,1184,0,14,0,1,24,3,135,2,0,112,5,81,18,11,4,28,66,20,0,0,53,349,0,0,0,0,2,1,50,33,0,29,8,0,104,9,22,0
16-Apr-21,2021-04-16,Confirmed,234002,27,6096,28,573,6253,481,14912,138,0,19486,927,8920,6277,842,1144,3843,14859,10031,245,44,11045,63729,31,121,25,22,3108,531,3891,7359,22,8449,3840,31,27360,2402,6910,0
16-Apr-21,2021-04-16,Recovered,122886,28,2194,2,113,1853,428,12240,25,0,12649,282,3387,2958,484,562,1393,4027,3792,47,11,7496,45335,7,12,5,2,952,220,3129,2791,10,4920,1198,7,6429,1080,2818,0
16-Apr-21,2021-04-16,Deceased,1338,0,20,0,4,13,1,138,0,0,141,6,94,20,9,2,56,78,21,0,0,60,398,0,1,0,1,3,3,50,31,0,33,9,0,103,17,26,0
17-Apr-21,2021-04-17,Confirmed,260895,42,7224,19,876,7870,431,16083,108,0,24375,762,9541,7717,1392,1145,3838,17489,13835,362,106,11269,67123,39,95,62,32,3144,715,4431,9046,72,9344,4446,58,27334,2757,7713,0
17-Apr-21,2021-04-17,Recovered,138209,36,2332,6,149,1804,438,9828,25,0,15414,436,3783,2944,656,852,1234,5564,3654,53,5,6497,56783,14,11,1,0,1303,198,2615,2823,4,5263,1414,11,7831,802,3426,0
17-Apr-21,2021-04-17,Deceased,1498,1,15,0,2,34,2,158,0,0,167,4,97,32,12,3,30,80,27,1,0,66,419,0,0,0,0,4,3,62,37,0,39,12,0,120,37,34,0
18-Apr-21,2021-04-18,Confirmed,275063,59,6582,20,639,8690,625,12345,184,0,25462,951,10340,7177,788,1526,3992,19067,18257,60,114,12248,68631,72,71,50,19,3664,663,4900,10262,105,10723,5093,69,30566,2630,8419,0
18-Apr-21,2021-04-18,Recovered,143839,54,2343,3,159,3460,411,14556,50,0,20159,531,3981,3489,532,963,1551,4603,4565,84,4,7495,45654,7,41,26,8,1309,282,3141,3084,5,5925,1555,7,9041,708,4053,0
18-Apr-21,2021-04-18,Deceased,1620,0,22,0,6,27,3,170,0,0,161,11,110,29,10,6,50,81,25,0,0,66,503,0,1,0,0,2,3,68,42,0,42,15,0,127,12,28,0
19-Apr-21,2021-04-19,Confirmed,257003,31,5963,65,1367,7487,612,13834,121,0,23686,940,11403,6842,1695,1516,4290,15785,13644,175,117,12897,58924,54,110,45,13,4445,565,4622,11967,9,10941,4009,32,28211,2160,8426,0
19-Apr-21,2021-04-19,Recovered,154357,12,2569,11,312,2619,429,12678,78,0,21500,428,4179,3663,593,813,1777,7098,4305,123,17,6836,52412,12,33,9,0,1503,336,3418,2408,3,6172,1878,15,10978,532,4608,0
19-Apr-21,2021-04-19,Deceased,1757,0,27,0,7,41,4,175,0,0,240,17,117,33,13,6,46,146,21,0,0,79,351,1,1,0,0,4,5,83,53,0,44,14,0,167,24,38,0
20-Apr-21,2021-04-20,Confirmed,294365,45,8987,61,1651,10455,602,15625,291,0,28395,1160,12206,7811,1340,2030,5080,21794,19577,250,53,12727,62097,94,137,91,82,4761,638,4656,12201,91,10986,5926,60,29574,3012,9819,0
20-Apr-21,2021-04-20,Recovered,166656,31,3116,15,279,3577,443,18746,75,0,19430,440,4339,3367,1078,716,2334,4571,3880,136,26,8937,54224,4,34,51,0,1740,253,3198,3207,4,6250,2209,16,14391,734,4805,0
20-Apr-21,2021-04-20,Deceased,2021,0,35,0,3,51,4,191,0,0,277,26,121,35,16,8,45,149,28,1,0,77,519,1,0,0,0,5,4,60,64,0,48,18,0,162,27,46,0
21-Apr-21,2021-04-21,Confirmed,315752,24,9716,73,1665,12222,622,14519,251,0,24638,1502,12553,9623,1692,2204,5041,23558,22414,183,191,13107,67468,92,192,90,97,4851,619,4953,14622,50,11681,6542,0,33106,4807,10784,0
21-Apr-21,2021-04-21,Recovered,179434,33,3359,16,297,4774,454,17263,101,0,24600,426,4802,3928,908,733,2331,6412,5431,20,16,9035,54985,22,25,7,4,2009,283,2727,3765,2,7071,2887,0,14198,894,5616,0
21-Apr-21,2021-04-21,Deceased,2101,0,38,0,5,56,2,193,0,0,249,17,125,45,17,13,62,116,22,0,0,75,568,2,3,0,0,5,5,69,62,0,53,20,0,187,34,58,0
22-Apr-21,2021-04-22,Confirmed,332531,37,10759,110,1931,11489,634,16750,359,0,26169,1410,13105,9742,1774,1965,7595,25795,26995,198,145,12384,67013,86,180,73,53,6164,987,5450,14468,124,12652,5567,168,34254,3998,11948,0
22-Apr-21,2021-04-22,Recovered,192317,33,3992,9,398,5308,482,17739,94,0,19609,461,5010,6512,689,791,2373,5624,6370,131,34,9620,62298,25,68,24,2,2165,464,3657,3618,18,7526,2251,74,16514,1744,6590,0
22-Apr-21,2021-04-22,Deceased,2257,1,31,0,10,59,4,207,0,0,306,21,137,55,18,8,106,123,28,1,0,75,568,1,0,0,0,7,4,75,59,1,59,23,0,195,19,56,0
23-Apr-21,2021-04-23,Confirmed,345296,42,11766,134,2384,12672,828,17397,236,0,24331,1420,13804,11854,1189,1937,5741,26962,28447,152,134,13590,66836,104,143,62,89,6215,792,6728,15398,67,13776,6206,40,36605,4339,12876,0
23-Apr-21,2021-04-23,Recovered,220545,49,4441,61,348,6067,476,15254,109,0,23572,596,5618,6334,772,1019,3205,8697,5663,159,17,10833,74045,27,38,5,1,2452,383,3294,5197,14,8078,3052,46,22566,1179,6878,0
23-Apr-21,2021-04-23,Deceased,2620,0,38,0,12,54,3,219,0,0,348,12,142,60,26,19,63,190,27,0,0,74,773,0,0,0,0,8,2,75,64,0,78,29,0,196,49,59,0
24-Apr-21,2021-04-24,Confirmed,348996,45,11698,116,2236,12359,711,16731,251,0,24103,1540,14097,10491,2073,2030,5152,29438,26685,148,157,12918,67160,130,155,63,114,6647,899,5663,15355,121,14842,7432,127,37944,5084,14281,0
24-Apr-21,2021-04-24,Recovered,215809,52,4421,19,619,6741,428,17029,118,0,22695,485,6479,5104,877,944,2865,9058,7067,209,33,11091,63818,13,148,32,0,3464,453,2949,4959,14,9142,2157,45,23231,1466,7584,0
24-Apr-21,2021-04-24,Deceased,2761,1,37,0,14,77,3,218,0,0,357,17,152,60,24,15,110,208,25,1,0,104,676,2,1,0,1,8,9,92,74,0,80,33,0,222,81,59,0
25-Apr-21,2021-04-25,Confirmed,354658,51,12634,61,1844,12795,749,12666,208,0,22933,2293,14296,10985,1363,2381,5903,34804,28469,120,164,13601,66191,140,208,105,180,6116,1008,6980,15809,148,15659,8126,100,35311,4368,15889,0
25-Apr-21,2021-04-25,Recovered,218626,57,4304,28,558,7533,413,11595,106,0,21071,658,6727,6057,1161,866,3287,6982,8122,63,29,11324,61450,38,62,34,15,3464,476,5315,6649,4,11065,3307,18,25633,1748,8407,0
25-Apr-21,2021-04-25,Deceased,2808,0,69,2,14,68,2,199,0,0,350,24,157,64,32,21,103,143,30,2,0,92,832,2,2,1,3,7,11,76,74,1,82,38,0,206,44,57,0
